Trial #: 1
Process_ID	Burst_time	Wait_time	complete_time
1			65			0			65
2			46			65			111
3			31			111			142
4			98			142			240
5			102			240			342
6			34			342			376
7			103			376			479
8			56			479			535
9			122			535			657
10			60			657			717
11			114			717			831
12			103			831			934
13			114			934			1048
14			48			1048			1096
15			69			1096			1165

Total wait time: 7573
Average wait time: 504.86667

Trial #: 2
Process_ID	Burst_time	Wait_time	complete_time
1			77			0			77
2			120			77			197
3			73			197			270
4			132			270			402
5			48			402			450
6			119			450			569
7			126			569			695
8			34			695			729
9			75			729			804
10			20			804			824
11			71			824			895
12			107			895			1002
13			54			1002			1056
14			46			1056			1102
15			116			1102			1218

Total wait time: 9072
Average wait time: 604.8

Trial #: 3
Process_ID	Burst_time	Wait_time	complete_time
1			138			0			138
2			49			138			187
3			146			187			333
4			134			333			467
5			149			467			616
6			63			616			679
7			131			679			810
8			85			810			895
9			89			895			984
10			110			984			1094
11			66			1094			1160
12			85			1160			1245
13			111			1245			1356
14			48			1356			1404
15			108			1404			1512

Total wait time: 11368
Average wait time: 757.86664

Trial #: 4
Process_ID	Burst_time	Wait_time	complete_time
1			109			0			109
2			77			109			186
3			37			186			223
4			30			223			253
5			77			253			330
6			113			330			443
7			27			443			470
8			70			470			540
9			34			540			574
10			93			574			667
11			88			667			755
12			92			755			847
13			78			847			925
14			66			925			991
15			80			991			1071

Total wait time: 7313
Average wait time: 487.53333

Trial #: 5
Process_ID	Burst_time	Wait_time	complete_time
1			81			0			81
2			139			81			220
3			67			220			287
4			124			287			411
5			72			411			483
6			133			483			616
7			141			616			757
8			128			757			885
9			67			885			952
10			31			952			983
11			92			983			1075
12			64			1075			1139
13			59			1139			1198
14			136			1198			1334
15			124			1334			1458

Total wait time: 10421
Average wait time: 694.73334

Trial #: 6
Process_ID	Burst_time	Wait_time	complete_time
1			99			0			99
2			51			99			150
3			84			150			234
4			140			234			374
5			54			374			428
6			32			428			460
7			103			460			563
8			85			563			648
9			112			648			760
10			87			760			847
11			32			847			879
12			107			879			986
13			86			986			1072
14			102			1072			1174
15			111			1174			1285

Total wait time: 8674
Average wait time: 578.26666

Trial #: 7
Process_ID	Burst_time	Wait_time	complete_time
1			46			0			46
2			130			46			176
3			68			176			244
4			100			244			344
5			61			344			405
6			28			405			433
7			111			433			544
8			126			544			670
9			140			670			810
10			95			810			905
11			102			905			1007
12			26			1007			1033
13			54			1033			1087
14			38			1087			1125
15			99			1125			1224

Total wait time: 8829
Average wait time: 588.6

Trial #: 8
Process_ID	Burst_time	Wait_time	complete_time
1			104			0			104
2			29			104			133
3			27			133			160
4			48			160			208
5			101			208			309
6			28			309			337
7			104			337			441
8			35			441			476
9			130			476			606
10			121			606			727
11			63			727			790
12			125			790			915
13			45			915			960
14			66			960			1026
15			91			1026			1117

Total wait time: 7192
Average wait time: 479.46667

Trial #: 9
Process_ID	Burst_time	Wait_time	complete_time
1			59			0			59
2			102			59			161
3			109			161			270
4			109			270			379
5			118			379			497
6			54			497			551
7			107			551			658
8			90			658			748
9			28			748			776
10			112			776			888
11			81			888			969
12			134			969			1103
13			72			1103			1175
14			133			1175			1308
15			75			1308			1383

Total wait time: 9542
Average wait time: 636.13336

Trial #: 10
Process_ID	Burst_time	Wait_time	complete_time
1			45			0			45
2			88			45			133
3			61			133			194
4			103			194			297
5			21			297			318
6			49			318			367
7			119			367			486
8			26			486			512
9			79			512			591
10			141			591			732
11			66			732			798
12			128			798			926
13			47			926			973
14			76			973			1049
15			141			1049			1190

Total wait time: 7421
Average wait time: 494.73334

